,"On Hand","U/M","Avg Cost","Asset Value","% of Tot Asset","Sales Price","Retail Value","% of Tot Retail"
"GMTXT100-AY (810312-021507 / #21507 TX TUMBLER - 20 OZ (24/CS))",624,"EA",4.55,2841.36,0%,999.00,623376.00,0%
"GMTXT110-AY (810312-021514 / #21514 TX TUMBLER - 30 OZ (24/CS))",24,"EA",4.96,118.87,0%,999.00,23976.00,0%
"GMUHTS100-FW (810312-024782 / #24782 UNISEX HALLOWEEN T-SHIRTS)",16632,"EA",4.12,68604.34,0.5%,999.00,16615368.00,0.3%
"GMUSL1000-FW (810312-020999 / #20999 ULTRA STRETCH LEGGING)",432,"EA",2.50,1081.93,0%,999.00,431568.00,0%
"GMWPP100-FW (810312-020777 / #20777 WINTER PALAZZO PANTS)",252,"EA",2.31,582.06,0%,999.00,251748.00,0%
"GMWT100-AY (810312-021521 / #21521 WINE TUMBLR  12 OZ -GLOSS)",108,"EA",3.08,332.64,0%,999.00,107892.00,0%
"GMWT110-AY (810312-021538 / #21538 WINE TUMBLR  12 OZ-MTALIC)",7272,"EA",2.84,20651.93,0.1%,999.00,7264728.00,0.1%
"GMWTS110-AY (810312-021361 / #21361 GILDAN 5400-LONG SL WHITE-(MD))",216,"EA",2.45,529.20,0%,999.00,215784.00,0%
"GMWTS115-AY (810312-021378 / #21378 GILDAN 5400-LONG SL WHITE-(LG))",216,"EA",2.52,544.32,0%,999.00,215784.00,0%
"GMWTS120-AY (810312-021385 / #21385 GILDAN 5400-LONG SL WHITE-(XL))",144,"EA",2.27,326.16,0%,999.00,143856.00,0%
"GMXBST1100-FW (810312-020715 / #20715 2XL-3XL-BELL SLV TUNIC)",0,"EA",3.35,0.00,0%,999.00,0.00,0%
"GMXBST3100-FW (810312-021675 / #21675 2XL-3XL-BUTTON SLV TUNIC)",72,"EA",3.55,256.01,0%,999.00,71928.00,0%
"GMXCNT120-SS (810312-021217 / #21217 2XL-3XL-CROCHET NKLNE TUN)",0,"EA",3.46,0.00,0%,999.00,0.00,0%
"GMXDJ110-AY (810312-021453 / #21453 2XL-3XL-DENIM JEGGING)",493,"EA",5.40,2662.32,0%,999.00,492507.00,0%
"GMXDLST2000-FW (810312-021026 / #21026 2XL-3XL-DBLE LACE SLV TUN)",720,"EA",4.12,2963.29,0%,999.00,719280.00,0%
"GMXFBT1120-FW (810312-020722 / #20722 2XL-3XL-FLARE BOTTOM TUN)",0,"EA",3.06,0.00,0%,999.00,0.00,0%
"GMXFS10048-SS (810312-020470 / #20470 2XL-3XL-FASHION SUNDRESS)",144,"EA",2.62,378.58,0%,999.00,143856.00,0%
"GMXHSLT110-SS (810312-020869 / #20869 2XL-3XL-HALF SLV LACE TUN)",0,"EA",3.10,0.00,0%,999.00,0.00,0%
"GMXLTST200-FW (810312-021019 / #21019 2XL-3XL-LACE TRIM SLV TUN)",360,"EA",3.30,1188.63,0%,999.00,359640.00,0%
"GMXOSLT1100-FW (810312-020746 / #20746 2XL-3XL-OPEN SLV LACE TUNIC)",216,"EA",4.13,892.79,0%,999.00,215784.00,0%
"GMXPHT1000-FW (810312-023259 / #23259 2XL-3XL-PRINT HNKCHEF HEM TUN)",720,"EA",5.41,3897.72,0%,999.00,719280.00,0%
"GMXPKT1000-FW (810312-023273 / #23273 2XL-3XL-PLUSH KNIT TUNIC)",612,"EA",6.19,3786.08,0%,999.00,611388.00,0%
"GMXPPP130-SS (810312-020890 / #20890 2XL-3XL-PRINT PALAZO PNTS)",0,"EA",2.46,0.00,0%,999.00,0.00,0%
"GMXPPST220-FW (810312-022672 / #22672 2XL-3XL-PRINT PKT SWG TUN)",0,"EA",4.02,0.00,0%,999.00,0.00,0%
"GMXPST110-SS (810312-020883 / #20883 2XL-3XL-PINWHEEL SLV TUNIC)",0,"EA",2.99,0.00,0%,999.00,0.00,0%
"GMXRST1010-SS (810312-020876 / #20876 2XL-3XL-RUFFLE SLV TUNIC)",0,"EA",3.42,0.00,0%,999.00,0.00,0%
"GMXSPPT200-SS (810312-023471 / #23471 2XL-3XL SLVELESS PRINT PKT TUN)",0,"EA",3.85,0.00,0%,999.00,0.00,0%
"GMXSPST220-FW (810312-022689 / #22689 2XL-3XL-SOLID PKT SWG TUN)",648,"EA",4.66,3018.03,0%,999.00,647352.00,0%
"GMXTST120-SS (810312-021200 / #21200 2XL-3XL-TIE SLEEVE TUNIC)",360,"EA",3.12,1124.14,0%,999.00,359640.00,0%
"GMXWPP200-FW (810312-020920 / #20920 2XL-3XL-WINTR PALAZO PANT)",0,"EA",2.56,0.00,0%,999.00,0.00,0%
"GMXWTS106-AY (810312-021484 / #21484 2XL-GILDAN 5000-SHORT SL WHITE)",72,"EA",2.76,198.71,0%,999.00,71928.00,0%
"GMXWTS107-AY (810312-021491 / #21491 3XL-GILDAN 5000-SHORT SL WHITE)",108,"EA",3.23,348.84,0%,999.00,107892.00,0%
"GMXWTS130-AY (810312-021224 / #21224 2XL-GILDAN 5400-LONG SL WHITE)",72,"EA",3.52,253.44,0%,999.00,71928.00,0%
"GMYP100-AY (810312-021569 / #21569 YOGA PANTS)",9144,"EA",4.49,41032.54,0.3%,999.00,9134856.00,0.2%
"LI34SWKT101-AY (810312-024751 / #24751 PRINT 3-4 SLEEVE WAFFLE KNIT TUNIC S-XL (T...",14352,"EA",4.17,59889.07,0.4%,999.00,14337648.00,0.3%
"LI34SWKT102-AY (810312-024768 / #24768 PRINT 3-4 SLEEVE WAFFLE KNIT TUNIC 2XL-3XL...",828,"EA",4.16,3440.10,0%,999.00,827172.00,0%
"LI34SWKT103-AY (810312-024775 / #24775 ROLLED 3-4 SLEEVE WAFFLE KNIT TUNIC S-XL (...",7434,"EA",5.99,44558.43,0.3%,999.00,7426566.00,0.1%
"LIBDCL201-AY (810312-024461 / #24461 BUBBLE SLEEVE DUSTER (PW6154))",18880,"EA",4.91,92659.82,0.6%,999.00,18861120.00,0.4%
"LIBDCL202-AY (810312-024454 / #24454 COTTON LEGGINGS (PW6154))",18880,"EA",4.99,94285.12,0.7%,999.00,18861120.00,0.4%
"LIBFST101-FW (810312-020548 / #20548 BELL SLEEVE TUNIC (T8548))",0,"EA",2.88,0.00,0%,999.00,0.00,0%
"LIBFST102-FW (810312-020685 / #20685 FLARE BOTTOM TUNIC (T8548))",0,"EA",2.95,0.00,0%,999.00,0.00,0%
"LIBSD101-AY (810312-023426 / #23426 BUBBLE SLEEVE DUSTER (PWP))",48,"EA",4.77,241.52,0%,999.00,47952.00,0%
"LIBSSL101-AY (810312-024164 / #24164 BLACK SUPER SOFT LEGGINGS - S-2XL (L6471))",16808,"EA",2.48,41643.17,0.3%,999.00,16791192.00,0.3%
"LIBSSL102-AY (810312-024171 / #24171 BLACK SUPER SOFT LEGGINGS - 2XL-3XL (L6471))",1528,"EA",2.48,3785.91,0%,999.00,1526472.00,0%
"LIBST201-FW (810312-021248 / #21248 BUTTON SLEEVE TUNIC S-M (T4865))",0,"EA",3.10,0.00,0%,999.00,0.00,0%
"LIBST202-FW (810312-022665 / #22665 BUTTON SLEEVE TUNIC L-XL (T4865))",0,"EA",3.10,0.00,0%,999.00,0.00,0%
"LIBST301-FW (810312-021248 / #21248 BUTTON SLEEVE TUNIC S-XL (T4875))",210,"EA",3.50,735.00,0%,999.00,209790.00,0%
"LIBST302-FW (810312-021675 / #21675 2XL-3XL-BUTTON SLV TUNIC (T4875))",42,"EA",4.00,168.00,0%,999.00,41958.00,0%
"LIBWKJP101-FW (810312-023952 / #23952 BOYS WAFFLE KNIT PULLOVER (B5269))",3114,"EA",4.36,13565.47,0.1%,999.00,3110886.00,0.1%
"LIBWKJP102-FW (810312-023969 / #23969 BOYS FLEECE JOGGER PANTS (B5269))",4152,"EA",6.07,25217.60,0.2%,999.00,4147848.00,0.1%
"LICJJ101-AY (810312-023594 / #23594 CAPRI JEAN JEGGING S-XL (J9431))",28188,"EA",6.86,193403.32,1.3%,999.00,28159812.00,0.5%
"LICJJ102-AY (810312-023631 / #23631 CAPRI JEAN JEGGING 2XL-3XL (J9431))",3132,"EA",6.86,21490.87,0.1%,999.00,3128868.00,0.1%
"LICP201-FW (810312-021644 / #21644 CORDUROY PANTS S-M (P4401))",2380,"EA",4.62,11007.03,0.1%,999.00,2377620.00,0%
"LICP202-FW (810312-022801 / #22801 CORDUROY PANTS L-XL (P4401))",3740,"EA",4.62,17296.87,0.1%,999.00,3736260.00,0.1%
"LICSSL101-SS (810312-024379 / #24379 PRINT CAPRI S. SOFT LEGNG (L7986))",44132,"EA",2.59,114180.16,0.8%,999.00,44087868.00,0.9%
"LICSSL102-SS (810312-024386 / #24386 PRINT CAPRI S. SOFT LEGNG 2XL-3XL (L7986))",4012,"EA",2.59,10379.89,0.1%,999.00,4007988.00,0.1%
"LICSSL111-SS (810312-024355 / #24355 SOLID CAPRI S. SOFT LEGNG (L5562))",104456,"EA",2.73,285322.09,2%,999.00,104351544.00,2%
"LICSSL112-SS (810312-024362 / #24362 SOLID CAPRI S. SOFT LEGNG 2XL-3XL (L5562))",9496,"EA",2.73,25951.69,0.2%,999.00,9486504.00,0.2%
"LICSST101-AY (810312-022399 / #22399 COTTON SIDE SLIT TEE S (T9905))",0,"EA",2.84,0.00,0%,999.00,0.00,0%
"LICSST102-AY (810312-022405 / #22405 COTTON SIDE SLIT TEE M (T9905))",0,"EA",2.84,0.00,0%,999.00,0.00,0%
"LICSST103-AY (810312-022412 / #22412 COTTON SIDE SLIT TEE L (T9905))",0,"EA",2.84,0.00,0%,999.00,0.00,0%
"LICSST104-AY (810312-022429 / #22429 COTTON SIDE SLIT TEE XL (T9905))",0,"EA",2.83,0.00,0%,999.00,0.00,0%
"LICYP201-AY (810312-022788 / #22788 COTTON YOGA PANTS S-M (P8895))",104,"EA",4.49,466.98,0%,999.00,103896.00,0%
"LICYP202-AY (810312-022795 / #22795 COTTON YOGA PANTS L-XL (P8895))",184,"EA",4.49,826.11,0%,999.00,183816.00,0%
"LIDLST101-FW (810312-020975 / #20975 DOUBLE LACE SLEEVE TUNIC S-XL (T7526))",60,"EA",2.88,172.85,0%,999.00,59940.00,0%
"LIDLST102-FW (810312-021026 / #21026 DOUBLE LACE SLEEVE TUNIC 2XL-3XL (T7526))",6,"EA",2.88,17.29,0%,999.00,5994.00,0%
"LIFFMA101-AY (810312-023181 / #23181 FABRIC FACE MASK - ADULT (M8198))",1397088,"EA",0.62,861637.89,5.9%,999.00,1395690912.00,26.9%
"LIFFMK102-AY (810312-023198 / #23198 FABRIC FACE MASK - KIDS (M8198))",258348,"EA",0.62,159321.38,1.1%,999.00,258089652.00,5%
"LIFS10041-SS (810312-020258 / #20258 FASHION SUNDRESS (D5823))",0,"EA",2.15,0.00,0%,999.00,0.00,0%
"LIFS10042-SS (810312-020623 / #20623 SURPLICE SUNDRESS (D5823))",0,"EA",2.61,0.00,0%,999.00,0.00,0%
"LIFS101-SS (810312-020258 / #20258 FASHION SUNDRESS S-XL (D5870))",1548,"EA",2.15,3320.69,0%,999.00,1546452.00,0%
"LIFS102-SS (810312-020470 / #20470 FASHION SUNDRESS 2XL-3XL (D5870))",516,"EA",2.15,1106.98,0%,999.00,515484.00,0%
"LIFS201-SS (810312-024300 / #24300 FASHION SUNDRESS S-XL (D1070))",17408,"EA",3.71,64593.44,0.4%,999.00,17390592.00,0.3%
"LIFS202-SS (810312-024317 / #24317 FASHION SUNDRESS 2XL-3XL (D1070))",2176,"EA",3.72,8093.30,0.1%,999.00,2173824.00,0%
"LIGDL101-AY (810312-023921 / #23921 GIRLS 3-4 SLEEVE CUTOUT BACK DRESS (G2138))",0,"EA",2.97,0.00,0%,999.00,0.00,0%
"LIGDL102-AY (810312-023938 / #23938 GIRLS SUPER SOFT LEGGINGS - PRINTED (G2138))",0,"EA",1.64,0.00,0%,999.00,0.00,0%
"LIGDL103-AY (810312-023945 / #23945 GIRLS SUPER SOFT LEGGINGS - SOLID (G2138))",0,"EA",1.69,0.00,0%,999.00,0.00,0%
"LIHFL101-FW (810312-022962 / #22962 HOLIDAY FLEECE LEGGINGS S-L (L6279))",0,"EA",2.71,0.00,0%,999.00,0.00,0%
"LIHFL102-FW (810312-022979 / #22979 HOLIDAY FLEECE LEGGINGS L-3XL (L6279))",0,"EA",2.71,0.00,0%,999.00,0.00,0%
"LIHFL201-FW (810312-022962 / #22962 HOLIDAY FLEECE LEGGINGS S-L (L6279))",1056,"EA",2.46,2597.01,0%,999.00,1054944.00,0%
"LIHFL202-FW (810312-022979 / #22979 HOLIDAY FLEECE LEGGINGS L-3XL (L6279))",2112,"EA",2.46,5194.01,0%,999.00,2109888.00,0%
"LIHLCHT101-SS (810312-024591 / #24591 HIGH LOW CURVED HEM TUNIC S-XL (T9152))",60160,"EA",4.67,280980.95,1.9%,999.00,60099840.00,1.2%
"LIHLCHT102-SS (810312-024652 / #24652 HIGH LOW CURVED HEM TUNIC 2XL-3XL (T9152))",7520,"EA",4.67,35125.25,0.2%,999.00,7512480.00,0.1%
"LIHWSSLH101-FW (810312-024812 / #24812 HALLOWEEN SUPER SOFT HOODIE S-3XL (HW2912))",0,"EA",5.66,0.00,0%,999.00,0.00,0%
"LIHWSSLH102-FW (810312-024829 / #24829 HALLOWEEN SUPER SOFT LEGGINGS S-3XL (HW2912))",0,"EA",2.06,0.00,0%,999.00,0.00,0%
"LIJJ101-AY (810312-022177 / #22177 JEAN JEGGING S-M (J7742))",70,"EA",6.54,457.77,0%,999.00,69930.00,0%
"LIJJ102-AY (810312-022542 / #22542 JEAN JEGGING L-XL (J7742))",110,"EA",6.54,719.54,0%,999.00,109890.00,0%
"LIKC101-FW (810312-022986 / #22986 KIMONO CARDIGAN S-M (C8693))",2100,"EA",5.24,11004.95,0.1%,999.00,2097900.00,0%
"LIKC102-FW (810312-022993 / #22993 KIMONO CARDIGAN L-XL (C8693))",2100,"EA",5.24,11004.95,0.1%,999.00,2097900.00,0%
"LIKFT201-FW (810312-022818 / #22818 KNOT FRONT TUNIC S-M (T1825))",2,"EA",2.47,5.08,0%,999.00,1998.00,0%
"LIKFT202-FW (810312-022825 / #22825 KNOT FRONT TUNIC L-XL (T1825))",0,"EA",2.47,0.00,0%,999.00,0.00,0%
"LILP101-AY (810312-022696 / #22696 LOUNGE PANTS S-M (P9602))",0,"EA",5.30,0.00,0%,999.00,0.00,0%
"LILP102-AY (810312-022702 / #22702 LOUNGE PANTS L-XL (P9602))",1,"EA",5.30,5.36,0%,999.00,999.00,0%
"LILP201-AY (810312-023556 / #23556 LOUNGE PANTS S-M (P5663))",34552,"EA",6.41,221512.98,1.5%,999.00,34517448.00,0.7%
"LILP202-AY (810312-023563 / #23563 LOUNGE PANTS L-XL (P5663))",54297,"EA",6.41,348119.14,2.4%,999.00,54242703.00,1%
"LILSTT201-FW (810312-021279 / #21279 LONG SLEEVE THERMAL TOP S-M (T7997))",0,"EA",2.00,0.00,0%,999.00,0.00,0%
"LILSTT202-FW (810312-022580 / #22580 LONG SLEEVE THERMAL TOP L-XL (T7997))",0,"EA",2.30,0.00,0%,999.00,0.00,0%
"LILSTT203-FW (810312-022597 / #22597 LONG SLEEVE THERMAL TOP 2XL-3XL (T7997))",0,"EA",2.30,0.00,0%,999.00,0.00,0%
"LIODJ301-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J4723))",9295,"EA",5.83,54235.54,0.4%,999.00,9285705.00,0.2%
"LIODJ302-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J4723))",16445,"EA",5.84,95968.61,0.7%,999.00,16428555.00,0.3%
"LIODJ303-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J4723))",2860,"EA",5.83,16687.25,0.1%,999.00,2857140.00,0.1%
"LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",34970,"EA",5.78,202175.06,1.4%,999.00,34935030.00,0.7%
"LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",61870,"EA",5.78,357696.99,2.5%,999.00,61808130.00,1.2%
"LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",10760,"EA",5.78,62206.03,0.4%,999.00,10749240.00,0.2%
"LIODJ501-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J7430))",17856,"EA",6.09,108788.76,0.8%,999.00,17838144.00,0.3%
"LIODJ502-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J7430))",1984,"EA",6.09,12077.37,0.1%,999.00,1982016.00,0%
"LIOFC101-FW (810312-022498 / #22498 OPEN FRONT CARDIGAN S-M (C9804))",0,"EA",6.32,0.00,0%,999.00,0.00,0%
"LIOFC102-FW (810312-022504 / #22504 OPEN FRONT CARDIGAN L-XL (C9804))",0,"EA",6.33,0.00,0%,999.00,0.00,0%
"LIP34WKT401-AY (810312-023518 / #23518 PRINTED 3-4 WAFFLE KNIT TUNIC (T5218))",0,"EA",4.18,0.00,0%,999.00,0.00,0%
"LIPBST101-SS (810312-023099 / #23099 PRINTED BISHOP SLEEVE TUNIC S-XL (T0599))",32,"EA",4.87,154.02,0%,999.00,31968.00,0%
"LIPBST102-SS (810312-023105 / #23105 PRINTED BISHOP SLEEVE TUNIC 2XL-3XL (T0599))",4,"EA",4.87,19.86,0%,999.00,3996.00,0%
"LIPBST201-SS (810312-024492 / #24492 PRINTED BISHOP SLEEVE TUNIC S-XL (T9208))",28384,"EA",5.29,150258.16,1%,999.00,28355616.00,0.5%
"LIPBST202-SS (810312-024508 / #24508 PRINTED BISHOP SLEEVE TUNIC 2XL-3XL (T9208))",3548,"EA",5.29,18779.74,0.1%,999.00,3544452.00,0.1%
"LIPDFM101-AY (810312-023372 / #23372 PRINTED DISP FACE MASK - KIDS (M6572))",58752,"EA",0.65,38281.67,0.3%,999.00,58693248.00,1.1%
"LIPDFM102-AY (810312-023365 / #23365 PRINTED DISP FACE MASK - ADULT (M6572))",293760,"EA",0.65,191437.74,1.3%,999.00,293466240.00,5.7%
"LIPDJ201-AY (810312-021552 / #21552 PRINTED JEGGING S-M (P5232))",112,"EA",6.07,679.63,0%,999.00,111888.00,0%
"LIPDJ202-AY (810312-022832 / #22832 PRINTED JEGGING L-XL (P5232))",176,"EA",6.07,1067.73,0%,999.00,175824.00,0%
"LIPDJ301-AY (810312-023846 / #23846 PRINTED JEGGING S-M (J4660))",17498,"EA",6.11,106885.54,0.7%,999.00,17480502.00,0.3%
"LIPDJ302-AY (810312-023853 / #23853 PRINTED JEGGING L-XL (J4660))",30964,"EA",6.11,189144.71,1.3%,999.00,30933036.00,0.6%
"LIPDJ303-AY (810312-023860 / #23860 PRINTED JEGGING 2XL-3XL (J4660))",5392,"EA",6.11,32940.90,0.2%,999.00,5386608.00,0.1%
"LIPDST101-FW (810312-024331 / #24331 PRINTED DROP SHOULDER TUNIC (T3148))",16832,"EA",4.00,67325.96,0.5%,999.00,16815168.00,0.3%
"LIPDST102-FW (810312-024348 / #24348 PRINTED DROP SHOULDER TUNIC 2XL-3XL (T3148))",2104,"EA",4.00,8416.43,0.1%,999.00,2101896.00,0%
"LIPFSP101-FW (810312-024713 / #24713 PRINTED FLEECE SWEATSHIRT S-XL (S2013))",6228,"EA",7.25,45125.77,0.3%,999.00,6221772.00,0.1%
"LIPFSP102-FW (810312-024720 / #24720 PRINTED FLEECE SWEATPANTS S-XL (S2013))",6228,"EA",7.42,46188.25,0.3%,999.00,6221772.00,0.1%
"LIPHC101-FW (810312-023532 / #23532 PRINTED HOODED CARDIGAN (C3249))",28785,"EA",6.31,181492.09,1.3%,999.00,28756215.00,0.6%
"LIPHHT101-FW (810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259))",11008,"EA",5.10,56100.23,0.4%,999.00,10996992.00,0.2%
"LIPHHT102-FW (810312-023259 / #23259 PRINTED HNKERCHF HEM TUNIC 2XL-3XL (T4259))",1376,"EA",5.10,7015.11,0%,999.00,1374624.00,0%
"LIPKT101-FW (810312-023266 / #23266 PLUSH KNIT TUNIC S-XL (T6673))",15091,"EA",5.88,88752.55,0.6%,999.00,15075909.00,0.3%
"LIPKT102-FW (810312-023273 / #23273 PLUSH KNIT TUNIC 2XL-3XL (T6673))",1886,"EA",5.88,11089.44,0.1%,999.00,1884114.00,0%
"LIPOS101-FW (810312-020234 / #20234 PULL OVER SHAWL (S3455))",1242,"EA",5.00,6210.00,0%,999.00,1240758.00,0%
"LIPOS102-FW (810312-021255 / #21255 PRINTED SWEATER VEST (S3455))",1242,"EA",5.00,6210.00,0%,999.00,1240758.00,0%
"LIPP201-FW (810312-020340 / #20340 PLUSH PANTS S-M (P4073))",12,"EA",3.12,37.42,0%,999.00,11988.00,0%
"LIPP202-FW (810312-022573 / #22573 PLUSH PANTS L-XL (P4073))",24,"EA",3.12,74.86,0%,999.00,23976.00,0%
"LIPPP201-SS (810312-020555 / #20555 PRINTED PALAZZO PANTS S-XL (P5590))",0,"EA",5.50,0.00,0%,999.00,0.00,0%
"LIPPP202-SS (810312-020890 / #20890 2XL-3XL-PRINT PALAZO PANTS (P5590))",0,"EA",5.50,0.00,0%,999.00,0.00,0%
"LIPPST101-FW (810312-021705 / #21705 PRINTED POCKET SWING TUNIC S-M (T0541))",0,"EA",4.63,0.00,0%,999.00,0.00,0%
"LIPPST102-FW (810312-022641 / #22641 PRINTED POCKET SWING TUNIC L-XL (T0541))",0,"EA",4.63,0.00,0%,999.00,0.00,0%
"LIPPST301-FW (810312-021705 / #21705 PRINTED POCKET SWING TUNIC S-XL (T7205))",0,"EA",4.00,0.00,0%,999.00,0.00,0%
"LIPPST302-FW (810312-022672 / #22672 PRINT PKT SWG TUNIC 2XL-3XL (T7205))",0,"EA",4.00,0.00,0%,999.00,0.00,0%
"LIPRHBST101-FW (810312-023280 / #23280 PRINTED RD HEM BISHOP SLE TUNIC S-XL (T8097))",21595,"EA",4.61,99470.69,0.7%,999.00,21573405.00,0.4%
"LIPRHBST102-FW (810312-023297 / #23297 PRINTED RD HEM BISHOP SLE TUNIC 2XL-3XL (T...",2705,"EA",4.61,12463.77,0.1%,999.00,2702295.00,0.1%
"LIPSD101-SS (810312-024638 / #24638 PRINTED SHIRTTAIL DRESS S-XL (D3845))",8896,"EA",4.97,44184.70,0.3%,999.00,8887104.00,0.2%
"LIPSD102-SS (810312-024645 / #24645 PRINTED SHIRTTAIL DRESS 2XL-3XL (D3845))",1112,"EA",4.97,5522.69,0%,999.00,1110888.00,0%
"LIPSSPT101-SS (810312-024577 / #245771 PRINTED SHORT SLEEVE POCKET TUNIC S-XL (T7...",16256,"EA",4.13,67196.52,0.5%,999.00,16239744.00,0.3%
"LIPSSPT102-SS (810312-024584 / #24584 PRINTED SHORT SLEEVE POCKET TUNIC 2XL-3XL (...",2032,"EA",4.13,8399.79,0.1%,999.00,2029968.00,0%
"LIPSST101-FW (810312-024119 / #24119 PRINTED V-NECK SIDE SLIT TUNIC S-XL (T1926))",0,"EA",5.09,0.00,0%,999.00,0.00,0%
"LIPSST102-FW (810312-024126 / #24126 PRINTED V-NECK SIDE SLIT TUNIC 2XL-3XL (T1926))",0,"EA",5.09,0.00,0%,999.00,0.00,0%
