,"On Hand","U/M","Avg Cost","Asset Value","% of Tot Asset","Sales Price","Retail Value","% of Tot Retail"
"LIPTPP101-SS (810312-023075 / #23075 PRINTED TASSEL TIE PALAZZO PANTS S-XL (P7582))",0,"EA",5.69,0.00,0%,999.00,0.00,0%
"LIPTPP102-SS (810312-023082 / #23082 PRINTED TASSEL TIE PALAZZO PANTS 2XL-3XL (P7...",0,"EA",5.69,0.00,0%,999.00,0.00,0%
"LIPTPP201-SS (810312-024393 / #24393 PRINTED TASSEL TIE PALAZZO PANTS S-XL (P9309))",47685,"EA",5.47,260871.05,1.8%,999.00,47637315.00,0.9%
"LIPTPP202-SS (810312-024409 / #24409 PRINTED TASSEL TIE PALAZZO PANTS 2XL-3XL (P9...",4335,"EA",5.47,23715.35,0.2%,999.00,4330665.00,0.1%
"LIPVLS101-SS (810312-024737 / #24737 PRINTED V-NECK LOUNGE SET S-XL (LS3744))",13149,"EA",6.58,86537.19,0.6%,999.00,13135851.00,0.3%
"LIPVLS102-SS (810312-024744 / #24744 PRINTED V-NECK LOUNGE SET 2XL-3XL (LS3744))",1461,"EA",6.75,9866.97,0.1%,999.00,1459539.00,0%
"LIPVN34BCT201-AY (810312-023211 / #23211 PRINT V-NECK 3-4 BAND CLR TUNIC (T0411))",24,"EA",4.59,110.10,0%,999.00,23976.00,0%
"LIPVN34ST101-AY (810312-022238 / #22238 PRINT V-NECK 3-4 SL TUNIC S-M (T5038))",0,"EA",3.19,0.00,0%,999.00,0.00,0%
"LIPVN34ST102-AY (810312-022245 / #22245 PRINT V-NECK 3-4 SL TUNIC L-XL (T5038))",0,"EA",3.19,0.00,0%,999.00,0.00,0%
"LIPVSPT101-SS (810312-024669 / #24669 PRINTED V-NECK SLVELESS POCKET TUNIC S-XL (...",15616,"EA",3.98,62189.20,0.4%,999.00,15600384.00,0.3%
"LIPVSPT102-SS (810312-024676 / #24676 PRINTED V-NECK SLVELESS POCKET TUNIC 2XL-3X...",1952,"EA",3.98,7773.59,0.1%,999.00,1950048.00,0%
"LIRHSST101-AY (810312-022559 / #22559 ROUNDED HEM SS TEE S-M (T5966))",0,"EA",2.31,0.00,0%,999.00,0.00,0%
"LIRHSST102-AY (810312-022566 / #22566 ROUNDED HEM SS TEE L-XL (T5966))",0,"EA",2.31,0.00,0%,999.00,0.00,0%
"LIRKP101-FW (810312-023327 / #23327 RIBBED KNIT PANTS S-XL (P2734))",7392,"EA",5.53,40907.99,0.3%,999.00,7384608.00,0.1%
"LIRKP102-FW (810312-023334 / #23334 RIBBED KNIT PANTS 2XL-3XL (P2734))",924,"EA",5.53,5112.04,0%,999.00,923076.00,0%
"LIRUST101-FW (810312-021729 / #21729 ROLL UP SLEEVE TUNIC S-M (T2919))",2968,"EA",4.58,13605.75,0.1%,999.00,2965032.00,0.1%
"LIRUST102-FW (810312-022719 / #22719 ROLL UP SLEEVE TUNIC L-XL (T2919))",4664,"EA",4.58,21380.66,0.1%,999.00,4659336.00,0.1%
"LIS34PBT402-AY (810312-023525 / #23525 SOLID 3-4 PLEAT BACK TUNIC (T5218))",0,"EA",4.52,0.00,0%,999.00,0.00,0%
"LISBST101-SS (810312-024201 / #24201 SOLID BACK SLIT TUNIC S-XL (T1801))",21697,"EA",5.43,117894.43,0.8%,999.00,21675303.00,0.4%
"LISBST102-SS (810312-024218 / #24218 SOLID BACK SLIT TUNIC 2XL-3XL (T1801))",2712,"EA",5.43,14737.89,0.1%,999.00,2709288.00,0.1%
"LISBT201-FW (810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633))",8008,"EA",5.86,46924.82,0.3%,999.00,7999992.00,0.2%
"LISBT202-FW (810312-022733 / #22733 SHARK-BITE TUNIC L-XL (T2633))",12584,"EA",5.86,73737.57,0.5%,999.00,12571416.00,0.2%
"LISC101-AY (810312-022511 / #22511 SEAMLESS CAMISOLE S-M (T1128))",0,"EA",3.35,0.00,0%,999.00,0.00,0%
"LISC102-AY (810312-022528 / #22528 SEAMLESS CAMISOLE L-2XL (T1128))",0,"EA",3.35,0.00,0%,999.00,0.00,0%
"LISCL101-AY (810312-023488 / #23488 SOLID COTTON WIDE WTBD LEGS S-XL (L9588))",220,"EA",4.98,1095.96,0%,999.00,219780.00,0%
"LISCL102-AY (810312-023495 / #23495 SOLID COTTON WIDE WTBD LEGS 2XL-3XL (L9588))",20,"EA",4.98,99.63,0%,999.00,19980.00,0%
"LISCL201-AY (810312-024287 / #24287 SOLID COTTON LEGGINGS S-XL (L8794))",33660,"EA",4.87,163804.51,1.1%,999.00,33626340.00,0.6%
"LISCL202-AY (810312-024294 / #24294 SOLID COTTON LEGGINGS 2XL-3XL (L8794))",3060,"EA",4.87,14892.35,0.1%,999.00,3056940.00,0.1%
"LISCP101-AY (810312-023389 / #23389 SOLID CASUAL PANTS S-XL (P8957))",0,"EA",7.12,0.00,0%,999.00,0.00,0%
"LISCP102-AY (810312-024157 / #24157 SOLID CASUAL PANTS 2XL-3XL (P8957))",0,"EA",7.12,0.00,0%,999.00,0.00,0%
"LISDJ101-AY (810312-023051 / #23051 SOLID DENIM JEGGING S-M (J5153))",68,"EA",5.58,379.60,0%,999.00,67932.00,0%
"LISDJ102-AY (810312-023358 / #23358 SOLID DENIM JEGGING L-XL (J5153))",108,"EA",5.58,602.90,0%,999.00,107892.00,0%
"LISDJ103-AY (810312-021453 / #21453 SOLID DENIM JEGGING 2XL-3XL (J5153))",16,"EA",5.58,89.32,0%,999.00,15984.00,0%
"LISDJ201-AY (810312-023051 / #23051 SOLID DENIM JEGGING S-M (J5853))",102,"EA",5.13,523.46,0%,999.00,101898.00,0%
"LISDJ202-AY (810312-023358 / #23358 SOLID DENIM JEGGING L-XL (J5853))",162,"EA",5.13,831.37,0%,999.00,161838.00,0%
"LISDJ203-AY (810312-021453 / #21453 SOLID DENIM JEGGING 2XL-3XL (J5853))",24,"EA",5.13,123.18,0%,999.00,23976.00,0%
"LISFL201-FW (810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS S-L (L5634))",0,"EA",1.50,0.00,0%,999.00,0.00,0%
"LISFL202-FW (810312-022634 / #22634 SEAMLESS FLEECE LEGGINGS L-XXL (L5634))",0,"EA",1.50,0.00,0%,999.00,0.00,0%
"LISFL301-FW (810312-023907 / #23907 SEAMLESS FLEECE LEGGINGS (L1407))",25230,"EA",2.29,57860.88,0.4%,999.00,25204770.00,0.5%
"LISFL302-FW (810312-023914 / #23914 TEXTURED FLEECE LEGGINGS (L1407))",15138,"EA",2.42,36565.42,0.3%,999.00,15122862.00,0.3%
"LISHC101-FW (810312-023549 / #23549 SOLID HOODED CARDIGAN (C3249))",28785,"EA",6.30,181390.51,1.3%,999.00,28756215.00,0.6%
"LISJJ101-AY (810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539))",11781,"EA",7.09,83525.20,0.6%,999.00,11769219.00,0.2%
"LISJJ102-AY (810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539))",20800,"EA",7.09,147472.56,1%,999.00,20779200.00,0.4%
"LISJJ103-AY (810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539))",3623,"EA",7.09,25683.47,0.2%,999.00,3619377.00,0.1%
"LISMD101-SS (810312-024690 / #24690 SMOCKED MAXI DRESS S-XL (D9600))",16672,"EA",6.99,116569.90,0.8%,999.00,16655328.00,0.3%
"LISMD102-SS (810312-024706 / #24706 SMOCKED MAXI DRESS 2XL-3XL (D9600))",2084,"EA",6.99,14571.24,0.1%,999.00,2081916.00,0%
"LISPPT101-SS (810312-024478 / #024478 PRINTED POCKET SLEEVELSS TUNIC (T7885))",92960,"EA",3.86,358814.76,2.5%,999.00,92867040.00,1.8%
"LISPPT102-SS (810312-024485 / #024485 PRINTED POCKET SLVELSS TUN 2XL-3XL(T7885))",11620,"EA",3.86,44852.68,0.3%,999.00,11608380.00,0.2%
"LISPSLT101-SS (810312-024614 / #24614 SOLID POCKET SLEEVELESS TUNIC S-XL (T1421))",15136,"EA",4.82,72993.36,0.5%,999.00,15120864.00,0.3%
"LISPSLT102-SS (810312-024621 / #24621 SOLID POCKET SLEEVELESS TUNIC 2XL-3XL (T1421))",1892,"EA",4.82,9124.17,0.1%,999.00,1890108.00,0%
"LISPST101-FW (810312-021712 / #21712 SOLID POCKET SWING TUNIC S-M (T1258))",0,"EA",4.48,0.00,0%,999.00,0.00,0%
"LISPST102-FW (810312-022658 / #22658 SOLID POCKET SWING TUNIC L-XL (T1258))",0,"EA",4.48,0.00,0%,999.00,0.00,0%
"LISPST201-FW (810312-021712 / #21712 SOLID POCKET SWING TUNIC S-XL (T1289))",0,"EA",4.50,0.00,0%,999.00,0.00,0%
"LISPST202-FW (810312-022689 / #22689 2XL-3XL SOLID PKT SWG TUNIC (T1289))",0,"EA",4.50,0.00,0%,999.00,0.00,0%
"LISPUFFS101-FW (810312-024133 / #24133 SOLID PUFF SLEEVE TUNIC S-XL (T3340))",23079,"EA",5.08,117270.83,0.8%,999.00,23055921.00,0.4%
"LISPUFFS102-FW (810312-024140 / #24140 SOLID PUFF SLEEVE TUNIC 2XL-3XL (T3340))",1608,"EA",5.08,8162.66,0.1%,999.00,1606392.00,0%
"LISSCS101-SS (810312-024539 / #24539 PRINT S. SOFT CASUAL SHORTS (S3960))",28471,"EA",3.40,96694.98,0.7%,999.00,28442529.00,0.5%
"LISSCS102-SS (810312-024546 / #24546 PRINT S. SOFT CASUAL SHORTS 2XL-3XL (S3960))",2847,"EA",3.39,9655.91,0.1%,999.00,2844153.00,0.1%
"LISSCS103-SS (810312-024553 / #24553 SOLID S. SOFT CASUAL SHORTS (S3960))",12337,"EA",3.39,41840.14,0.3%,999.00,12324663.00,0.2%
"LISSCS104-SS (810312-024560 / #24560 SOLID S. SOFT CASUAL SHORTS 2XL-3XL (S3960))",1898,"EA",3.39,6437.04,0%,999.00,1896102.00,0%
"LISSH101-AY (810312-023006 / #23006 SUPER SOFT HOODIE S-M (T0613))",10,"EA",5.99,60.05,0%,999.00,9990.00,0%
"LISSH102-AY (810312-023013 / #23013 SUPER SOFT HOODIE L-XL (T0613))",20,"EA",5.99,118.94,0%,999.00,19980.00,0%
"LISSHT101-SS (810312-023457 / #23457 SOLID SYM HEMLINE TUNIC S-XL (T5764))",1952,"EA",4.17,8136.59,0.1%,999.00,1950048.00,0%
"LISSHT102-SS (810312-023464 / #23464 SOLID SYM HEMLINE TUNIC 2XL-3XL (T5764))",244,"EA",4.17,1018.57,0%,999.00,243756.00,0%
"LISSHT201-SS (810312-024430 / #24430 SOLID SYM HEMLINE TUNIC S-XL (T4730))",30338,"EA",4.16,126235.05,0.9%,999.00,30307662.00,0.6%
"LISSHT202-SS (810312-024447 / #24447 SOLID SYM HEMLINE TUNIC 2XL-3XL (T4730))",3796,"EA",4.16,15795.17,0.1%,999.00,3792204.00,0.1%
"LISSL101-AY (810312-022290 / #22290 SUP SOFT LEG PRINT S-L (L9006))",171,"EA",2.20,375.14,0%,999.00,170829.00,0%
"LISSL102-AY (810312-022306 / #22306 SUP SOFT LEG PRINT L-2XL (L9006))",261,"EA",2.20,571.01,0%,999.00,260739.00,0%
"LISSL111-AY (810312-022313 / #22313 SUP SOFT LEG SOLID BLK S-L (L1320))",882,"EA",2.35,2068.86,0%,999.00,881118.00,0%
"LISSL112-AY (810312-022320 / #22320 SUP SOFT LEG SOLID BLK L-2XL (L1320))",1470,"EA",2.35,3454.63,0%,999.00,1468530.00,0%
"LISSL113-AY (810312-022337 / #22337 SUP SOFT LEG SOLID NVY S-L (L1320))",392,"EA",2.35,918.97,0%,999.00,391608.00,0%
"LISSL114-AY (810312-022344 / #22344 SUP SOFT LEG SOLID NVY L-2XL (L1320))",686,"EA",2.35,1614.23,0%,999.00,685314.00,0%
"LISSL115-AY (810312-022351 / #22351 SUP SOFT LEG SOLID GRY S-L (L1320))",294,"EA",2.35,695.27,0%,999.00,293706.00,0%
"LISSL116-AY (810312-022368 / #22368 SUP SOFT LEG SOLID GRY L-2XL (L1320))",588,"EA",2.35,1382.95,0%,999.00,587412.00,0%
"LISSL117-AY (810312-022375 / #22375 SUP SOFT LEG SOLID BGY S-L (L1320))",196,"EA",2.35,459.41,0%,999.00,195804.00,0%
"LISSL118-AY (810312-022382 / #22382 SUP SOFT LEG SOLID BGY L-2XL (L1320))",197,"EA",2.35,461.53,0%,999.00,196803.00,0%
"LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",69003,"EA",2.39,164739.30,1.1%,999.00,68933997.00,1.3%
"LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",109592,"EA",2.39,261648.51,1.8%,999.00,109482408.00,2.1%
"LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",16236,"EA",2.39,38759.18,0.3%,999.00,16219764.00,0.3%
"LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",66249,"EA",2.28,151144.39,1%,999.00,66182751.00,1.3%
"LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",105219,"EA",2.28,240064.51,1.7%,999.00,105113781.00,2%
"LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",15435,"EA",2.28,35214.01,0.2%,999.00,15419565.00,0.3%
"LISSLLS101-AY (810312-023648 / #23648 VALENTINES SUP SOFT LEG S-2XL (L4855))",130,"EA",2.15,280.12,0%,999.00,129870.00,0%
"LISSLLS102-AY (810312-023655 / #23655 LOUNGE SET (L4855))",75,"EA",7.56,566.87,0%,999.00,74925.00,0%
"LISSPT101-SS (810312-024188 / #24188 SOLID SHORT SLEEVE POCKET TUNIC S-XL (T5898))",14912,"EA",4.95,73882.38,0.5%,999.00,14897088.00,0.3%
"LISSPT102-SS (810312-024195 / #24195 SOLID SHORT SLEEVE POCKET TUNIC 2XL-3XL (T58...",1864,"EA",4.95,9228.99,0.1%,999.00,1862136.00,0%
"LISST101-AY (810312-022559 / #22559 SOLID SUPER SOFT TEE S-M (T5937))",11,"EA",2.57,28.19,0%,999.00,10989.00,0%
"LISST102-AY (810312-022566 / #22566 SOLID SUPER SOFT TEE L-XL (T5937))",17,"EA",2.57,43.90,0%,999.00,16983.00,0%
"LISST103-AY (810312-023020 / #23020 PRINTED SUPER SOFT TEE S-M (T5937))",8,"EA",2.57,20.93,0%,999.00,7992.00,0%
"LISST104-AY (810312-023037 / #23037 PRINTED SUPER SOFT TEE L-XL (T5937))",12,"EA",2.57,30.81,0%,999.00,11988.00,0%
"LISUS101-AY (810312-023778 / #23778 SOLID UNISEX SCRUB S (S7808))",3630,"EA",4.62,16776.18,0.1%,999.00,3626370.00,0.1%
"LISUS102-AY (810312-023785 / #23785 SOLID UNISEX SCRUB M (S7808))",5082,"EA",4.62,23485.91,0.2%,999.00,5076918.00,0.1%
"LISUS103-AY (810312-023792 / #23792 SOLID UNISEX SCRUB L (S7808))",5082,"EA",4.62,23485.90,0.2%,999.00,5076918.00,0.1%
"LISUS104-AY (810312-023808 / #23808 SOLID UNISEX SCRUB XL (S7808))",3630,"EA",4.62,16776.16,0.1%,999.00,3626370.00,0.1%
"LISVN34BST202-AY (810312-023204 / #23204 SOLID V-NECK 3-4 BELL SL TUNIC (T0411))",24,"EA",5.89,141.31,0%,999.00,23976.00,0%
"LISVN34ST101-AY (810312-022450 / #22450 SOLID V-NECK 3-4 SL TUNIC S-M (T5038))",0,"EA",4.08,0.00,0%,999.00,0.00,0%
"LISVN34ST102-AY (810312-022467 / #22467 SOLID V-NECK 3-4 SL TUNIC L-XL (T5038))",0,"EA",4.08,0.00,0%,999.00,0.00,0%
"LISVSST101-FW (810312-024515 / #24515 SOLID V-NECK SIDE SLIT TUNIC S-XL (T1522))",45216,"EA",5.95,268874.34,1.9%,999.00,45170784.00,0.9%
"LISVSST102-FW (810312-024522 / #24522 SOLID V-NECK SIDE SLIT TUNIC 2XL-3XL (T1522))",5652,"EA",5.95,33609.53,0.2%,999.00,5646348.00,0.1%
"LITFL201-FW (810312-021668 / #21668 TEXTURED FLEECE LEGGINGS S-L (L6843))",10188,"EA",1.94,19737.04,0.1%,999.00,10177812.00,0.2%
"LITFL202-FW (810312-022443 / #22443 TEXTURED FLEECE LEGGINGS L-XXL (L6843))",16980,"EA",1.94,32963.18,0.2%,999.00,16963020.00,0.3%
"LITTBD101-SS (810312-024256 / #24256 TASSEL TIE BACK MAXI DRESS S-XL (D6356))",42784,"EA",3.99,170568.28,1.2%,999.00,42741216.00,0.8%
"LITTBD102-SS (810312-024263 / #24263 TASSEL TIE BACK MAXI DRESS 2XL-3XL (D6356))",5348,"EA",3.99,21320.79,0.1%,999.00,5342652.00,0.1%
"LIUFFH101-FW (810312-024003 / #24003 UNISEX FULL-ZIP FLEECE HOODIE S (T2703))",0,"EA",10.43,0.00,0%,999.00,0.00,0%
"LIUFFH102-FW (810312-024010 / #24010 UNISEX FULL-ZIP FLEECE HOODIE M-L (T2703))",0,"EA",10.43,0.00,0%,999.00,0.00,0%
"LIUFFH103-FW (810312-024027 / #24027 UNISEX FULL-ZIP FLEECE HOODIE XL (T2703))",0,"EA",10.43,0.00,0%,999.00,0.00,0%
"LIUFJP101-FW (810312-023976 / #23976 UNISEX FLEECE JOGGER PANTS S (P7690))",280,"EA",7.39,2068.67,0%,999.00,279720.00,0%
"LIUFJP102-FW (810312-023983 / #23983 UNISEX FLEECE JOGGER PANTS M-L (P7690))",560,"EA",7.39,4137.34,0%,999.00,559440.00,0%
"LIUFJP103-FW (810312-023990 / #23990 UNISEX FLEECE JOGGER PANTS XL (P7690))",840,"EA",7.39,6206.00,0%,999.00,839160.00,0%
"LIUFPP101-FW (810312-024041 / #24041 UNISEX FLANNEL PAJAMA PANTS S (P4165))",480,"EA",6.42,3079.87,0%,999.00,479520.00,0%
"LIUFPP102-FW (810312-024058 / #24058 UNISEX FLANNEL PAJAMA PANTS M-L (P4165))",960,"EA",6.42,6159.90,0%,999.00,959040.00,0%
"LIUFPP103-FW (810312-024065 / #24065 UNISEX FLANNEL PAJAMA PANTS XL (P4165))",1440,"EA",6.42,9239.62,0.1%,999.00,1438560.00,0%
"LIUHS101-FW (810312-024089 / #24089 UNISEX HOLIDAY SWEATSHIRT S (S8902))",0,"EA",7.59,0.00,0%,999.00,0.00,0%
"LIUHS102-FW (810312-024096 / #24096 UNISEX HOLIDAY SWEATSHIRT M-L (S8902))",0,"EA",7.59,0.00,0%,999.00,0.00,0%
"LIUHS103-FW (810312-024102 / #24102 UNISEX HOLIDAY SWEATSHIRT XL (S8902))",0,"EA",7.59,0.00,0%,999.00,0.00,0%
"LIUHS201-FW (810312-024089 / #24089 UNISEX HOLIDAY SWEATSHIRT S (S8902))",8,"EA",6.92,51.67,0%,999.00,7992.00,0%
"LIUHS202-FW (810312-024096 / #24096 UNISEX HOLIDAY SWEATSHIRT M-L (S8902))",14,"EA",6.92,95.05,0%,999.00,13986.00,0%
"LIUHS203-FW (810312-024102 / #24102 UNISEX HOLIDAY SWEATSHIRT XL (S8902))",18,"EA",6.92,128.73,0%,999.00,17982.00,0%
"LIULDJ101-FW (810312-022849 / #22849 ULTRA LIGHT DOWN JACKET S-M BLK (T4955))",831,"EA",10.33,8584.52,0.1%,999.00,830169.00,0%
"LIULDJ102-FW (810312-022856 / #22856 ULTRA LIGHT DOWN JACKET L BLK (T4955))",831,"EA",10.33,8584.40,0.1%,999.00,830169.00,0%
"LIULDJ103-FW (810312-022863 / #22863 ULTRA LIGHT DOWN JACKET XL BLK (T4955))",1662,"EA",10.33,17164.21,0.1%,999.00,1660338.00,0%
"LIULDJ104-FW (810312-022870 / #22870 ULTRA LIGHT DOWN JACKET S-M GRY (T4955))",277,"EA",10.33,2861.26,0%,999.00,276723.00,0%
"LIULDJ105-FW (810312-022887 / #22887 ULTRA LIGHT DOWN JACKET L GRY (T4955))",554,"EA",10.33,5722.26,0%,999.00,553446.00,0%
"LIULDJ106-FW (810312-022894 / #22894 ULTRA LIGHT DOWN JACKET XL GRY (T4955))",831,"EA",10.33,8584.72,0.1%,999.00,830169.00,0%
"LIULDJ107-FW (810312-022900 / #22900 ULTRA LIGHT DOWN JACKET S-M BGY (T4955))",277,"EA",10.33,2861.00,0%,999.00,276723.00,0%
"LIULDJ108-FW (810312-022917 / #22917 ULTRA LIGHT DOWN JACKET L BGY (T4955))",277,"EA",10.33,2860.83,0%,999.00,276723.00,0%
"LIULDJ109-FW (810312-022924 / #22924 ULTRA LIGHT DOWN JACKET XL BGY (T4955))",277,"EA",10.33,2860.54,0%,999.00,276723.00,0%
"LIULDJ110-FW (810312-022931 / #22931 ULTRA LIGHT DOWN JACKET S-M BLH (T4955))",277,"EA",10.33,2860.73,0%,999.00,276723.00,0%
"LIULDJ111-FW (810312-022948 / #22948 ULTRA LIGHT DOWN JACKET L BLH (T4955))",277,"EA",10.33,2860.61,0%,999.00,276723.00,0%
"LIULDJ112-FW (810312-022955 / #22955 ULTRA LIGHT DOWN JACKET XL BLH (T4955))",277,"EA",10.33,2860.37,0%,999.00,276723.00,0%
"LIVFLT101-SS (810312-023044 / #23044 V-NECK FULL LACE TUNIC (T4487))",2053,"EA",5.15,10579.45,0.1%,999.00,2050947.00,0%
"LIVFLT102-SS (810312-021187 / #21187 FULL LACE TUNIC (T4487))",2052,"EA",5.25,10773.00,0.1%,999.00,2049948.00,0%
"LIWWCL101-AY (810312-023143 / #23143 WIDE WTBD COTTON LEGS S-XL (PWP))",48,"EA",4.07,195.34,0%,999.00,47952.00,0%
"MC - MASTER CARTON (CASE - MISCELLANEOUS)",608,"CS",0.00,0.00,0%,0.00,0.00,0%
"MCTXT100-SHIPPER (10810312021504 / SHIPPER OF 20 OZ TX TUMBLER (48 / SHIPPER))",8,"CS",0.00,0.00,0%,0.00,0.00,0%
"MCWT-SHIPPER (10810312021535 / SHIPPER OF WINE TUMBLERS (48 / SHIPPER))",1,"CS",0.00,0.00,0%,0.00,0.00,0%
"MISCELLANEOUS-AY (MISCELLANEOUS CLOSEOUTS)",0,"EA",2.50,0.00,0%,999.00,0.00,0%
"NRB10 (NUMBER OF RETURN BOXES)",74880,"CS",0.00,0.00,0%,0.00,0.00,0%
"RL10 (RETURN LABEL)",11854,"EA",0.00,0.00,0%,0.00,0.00,0%
"SAMPLES10 (SAMPLES)",99,"CS",0.00,0.00,0%,0.00,0.00,0%
"XXXX10100-AY (COUNTER DISPLAY RACK - 2 TIER)",142,"EA",4.00,568.00,0%,999.00,141858.00,0%
"XXXX10204-AY (BLACK COUNTER SPINNER RACK)",128,"EA",7.21,923.46,0%,999.00,127872.00,0%
"XXXX10212-AY (04-001CH / BLACK FOUR WAY RACK)",112,"EA",41.06,4599.74,0%,999.00,111888.00,0%
"XXXX10216-AY (63-304CH / ATTACHMENT ARM - CHROME)",1044,"EA",1.97,2056.68,0%,999.00,1042956.00,0%
"Total Inventory",5309637,"-MIXED-",,14496692.00,100.00%,,5185043766.00,100.00%
"TOTAL",5309637,"-MIXED-",,14496692.00,100.00%,,5185043766.00,100.00%
